DATE,PROJECT1,PROJECT2,SHORTS/REELS,INSTA/LINKEDIN POST,,,,,,,,,,,,,,
2/1/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
2/2/2024,,,,DUE,,,,,,,,,,,,,,
2/3/2024,,,,DUE,,,,,,,,,,,,,,
2/4/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/5/2024,,,,DUE,,,,,,,,,,,,,,DONE
2/6/2024,,,,DUE,,,,,,,,,,,,,,DUE
2/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/8/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
2/9/2024,,,,DUE,,,,,,,,,,,,,,
2/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/11/2024,,,,DUE,,,,,,,,,,,,,,
2/12/2024,,,,DUE,,,,,,,,,,,,,,
2/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/14/2024,,,,DUE,,,,,,,,,,,,,,
2/15/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
2/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/17/2024,,,,DUE,,,,,,,,,,,,,,
2/18/2024,,,,DUE,,,,,,,,,,,,,,
2/19/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/20/2024,,,,DUE,,,,,,,,,,,,,,
2/21/2024,,,,DUE,,,,,,,,,,,,,,
2/22/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
2/23/2024,,,,DUE,,,,,,,,,,,,,,
2/24/2024,,,,DUE,,,,,,,,,,,,,,
2/25/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/26/2024,,,,DUE,,,,,,,,,,,,,,
2/27/2024,,,,DUE,,,,,,,,,,,,,,
2/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
2/29/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/1/2024,,,,DUE,,,,,,,,,,,,,,
3/2/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/3/2024,,,,DUE,,,,,,,,,,,,,,
3/4/2024,,,,DUE,,,,,,,,,,,,,,
3/5/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/6/2024,,,,DUE,,,,,,,,,,,,,,
3/7/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/8/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/9/2024,,,,DUE,,,,,,,,,,,,,,
3/10/2024,,,,DUE,,,,,,,,,,,,,,
3/11/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/12/2024,,,,DUE,,,,,,,,,,,,,,
3/13/2024,,,,DUE,,,,,,,,,,,,,,
3/14/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
3/15/2024,,,,DUE,,,,,,,,,,,,,,
3/16/2024,,,,DUE,,,,,,,,,,,,,,
3/17/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/18/2024,,,,DUE,,,,,,,,,,,,,,
3/19/2024,,,,DUE,,,,,,,,,,,,,,
3/20/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/21/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/22/2024,,,,DUE,,,,,,,,,,,,,,
3/23/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/24/2024,,,,DUE,,,,,,,,,,,,,,
3/25/2024,,,,DUE,,,,,,,,,,,,,,
3/26/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/27/2024,,,,DUE,,,,,,,,,,,,,,
3/28/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
3/29/2024,,,DUE,DUE,,,,,,,,,,,,,,
3/30/2024,,,,DUE,,,,,,,,,,,,,,
3/31/2024,,,,DUE,,,,,,,,,,,,,,
4/1/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/2/2024,,,,DUE,,,,,,,,,,,,,,
4/3/2024,,,,DUE,,,,,,,,,,,,,,
4/4/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
4/5/2024,,,,DUE,,,,,,,,,,,,,,
4/6/2024,,,,DUE,,,,,,,,,,,,,,
4/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/8/2024,,,,DUE,,,,,,,,,,,,,,
4/9/2024,,,,DUE,,,,,,,,,,,,,,
4/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/11/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
4/12/2024,,,,DUE,,,,,,,,,,,,,,
4/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/14/2024,,,,DUE,,,,,,,,,,,,,,
4/15/2024,,,,DUE,,,,,,,,,,,,,,
4/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/17/2024,,,,DUE,,,,,,,,,,,,,,
4/18/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
4/19/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/20/2024,,,,DUE,,,,,,,,,,,,,,
4/21/2024,,,,DUE,,,,,,,,,,,,,,
4/22/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/23/2024,,,,DUE,,,,,,,,,,,,,,
4/24/2024,,,,DUE,,,,,,,,,,,,,,
4/25/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
4/26/2024,,,,DUE,,,,,,,,,,,,,,
4/27/2024,,,,DUE,,,,,,,,,,,,,,
4/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
4/29/2024,,,,DUE,,,,,,,,,,,,,,
4/30/2024,,,,DUE,,,,,,,,,,,,,,
5/1/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/2/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
5/3/2024,,,,DUE,,,,,,,,,,,,,,
5/4/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/5/2024,,,,DUE,,,,,,,,,,,,,,
5/6/2024,,,,DUE,,,,,,,,,,,,,,
5/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/8/2024,,,,DUE,,,,,,,,,,,,,,
5/9/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
5/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/11/2024,,,,DUE,,,,,,,,,,,,,,
5/12/2024,,,,DUE,,,,,,,,,,,,,,
5/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/14/2024,,,,DUE,,,,,,,,,,,,,,
5/15/2024,,,,DUE,,,,,,,,,,,,,,
5/16/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
5/17/2024,,,,DUE,,,,,,,,,,,,,,
5/18/2024,,,,DUE,,,,,,,,,,,,,,
5/19/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/20/2024,,,,DUE,,,,,,,,,,,,,,
5/21/2024,,,,DUE,,,,,,,,,,,,,,
5/22/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/23/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
5/24/2024,,,,DUE,,,,,,,,,,,,,,
5/25/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/26/2024,,,,DUE,,,,,,,,,,,,,,
5/27/2024,,,,DUE,,,,,,,,,,,,,,
5/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
5/29/2024,,,,DUE,,,,,,,,,,,,,,
5/30/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
5/31/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/1/2024,,,,DUE,,,,,,,,,,,,,,
6/2/2024,,,,DUE,,,,,,,,,,,,,,
6/3/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/4/2024,,,,DUE,,,,,,,,,,,,,,
6/5/2024,,,,DUE,,,,,,,,,,,,,,
6/6/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
6/7/2024,,,,DUE,,,,,,,,,,,,,,
6/8/2024,,,,DUE,,,,,,,,,,,,,,
6/9/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/10/2024,,,,DUE,,,,,,,,,,,,,,
6/11/2024,,,,DUE,,,,,,,,,,,,,,
6/12/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/13/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
6/14/2024,,,,DUE,,,,,,,,,,,,,,
6/15/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/16/2024,,,,DUE,,,,,,,,,,,,,,
6/17/2024,,,,DUE,,,,,,,,,,,,,,
6/18/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/19/2024,,,,DUE,,,,,,,,,,,,,,
6/20/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
6/21/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/22/2024,,,,DUE,,,,,,,,,,,,,,
6/23/2024,,,,DUE,,,,,,,,,,,,,,
6/24/2024,,,DUE,DUE,,,,,,,,,,,,,,
6/25/2024,,,,DUE,,,,,,,,,,,,,,
6/26/2024,,,,DUE,,,,,,,,,,,,,,
6/27/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
6/28/2024,,,,DUE,,,,,,,,,,,,,,
6/29/2024,,,,DUE,,,,,,,,,,,,,,
6/30/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/1/2024,,,,DUE,,,,,,,,,,,,,,
7/2/2024,,,,DUE,,,,,,,,,,,,,,
7/3/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/4/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
7/5/2024,,,,DUE,,,,,,,,,,,,,,
7/6/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/7/2024,,,,DUE,,,,,,,,,,,,,,
7/8/2024,,,,DUE,,,,,,,,,,,,,,
7/9/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/10/2024,,,,DUE,,,,,,,,,,,,,,
7/11/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
7/12/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/13/2024,,,,DUE,,,,,,,,,,,,,,
7/14/2024,,,,DUE,,,,,,,,,,,,,,
7/15/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/16/2024,,,,DUE,,,,,,,,,,,,,,
7/17/2024,,,,DUE,,,,,,,,,,,,,,
7/18/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
7/19/2024,,,,DUE,,,,,,,,,,,,,,
7/20/2024,,,,DUE,,,,,,,,,,,,,,
7/21/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/22/2024,,,,DUE,,,,,,,,,,,,,,
7/23/2024,,,,DUE,,,,,,,,,,,,,,
7/24/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/25/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
7/26/2024,,,,DUE,,,,,,,,,,,,,,
7/27/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/28/2024,,,,DUE,,,,,,,,,,,,,,
7/29/2024,,,,DUE,,,,,,,,,,,,,,
7/30/2024,,,DUE,DUE,,,,,,,,,,,,,,
7/31/2024,,,,DUE,,,,,,,,,,,,,,
8/1/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
8/2/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/3/2024,,,,DUE,,,,,,,,,,,,,,
8/4/2024,,,,DUE,,,,,,,,,,,,,,
8/5/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/6/2024,,,,DUE,,,,,,,,,,,,,,
8/7/2024,,,,DUE,,,,,,,,,,,,,,
8/8/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
8/9/2024,,,,DUE,,,,,,,,,,,,,,
8/10/2024,,,,DUE,,,,,,,,,,,,,,
8/11/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/12/2024,,,,DUE,,,,,,,,,,,,,,
8/13/2024,,,,DUE,,,,,,,,,,,,,,
8/14/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/15/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
8/16/2024,,,,DUE,,,,,,,,,,,,,,
8/17/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/18/2024,,,,DUE,,,,,,,,,,,,,,
8/19/2024,,,,DUE,,,,,,,,,,,,,,
8/20/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/21/2024,,,,DUE,,,,,,,,,,,,,,
8/22/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
8/23/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/24/2024,,,,DUE,,,,,,,,,,,,,,
8/25/2024,,,,DUE,,,,,,,,,,,,,,
8/26/2024,,,DUE,DUE,,,,,,,,,,,,,,
8/27/2024,,,,DUE,,,,,,,,,,,,,,
8/28/2024,,,,DUE,,,,,,,,,,,,,,
8/29/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
8/30/2024,,,,DUE,,,,,,,,,,,,,,
8/31/2024,,,,DUE,,,,,,,,,,,,,,
9/1/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/2/2024,,,,DUE,,,,,,,,,,,,,,
9/3/2024,,,,DUE,,,,,,,,,,,,,,
9/4/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/5/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
9/6/2024,,,,DUE,,,,,,,,,,,,,,
9/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/8/2024,,,,DUE,,,,,,,,,,,,,,
9/9/2024,,,,DUE,,,,,,,,,,,,,,
9/10/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/11/2024,,,,DUE,,,,,,,,,,,,,,
9/12/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
9/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/14/2024,,,,DUE,,,,,,,,,,,,,,
9/15/2024,,,,DUE,,,,,,,,,,,,,,
9/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/17/2024,,,,DUE,,,,,,,,,,,,,,
9/18/2024,,,,DUE,,,,,,,,,,,,,,
9/19/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
9/20/2024,,,,DUE,,,,,,,,,,,,,,
9/21/2024,,,,DUE,,,,,,,,,,,,,,
9/22/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/23/2024,,,,DUE,,,,,,,,,,,,,,
9/24/2024,,,,DUE,,,,,,,,,,,,,,
9/25/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/26/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
9/27/2024,,,,DUE,,,,,,,,,,,,,,
9/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
9/29/2024,,,,DUE,,,,,,,,,,,,,,
9/30/2024,,,,DUE,,,,,,,,,,,,,,
10/1/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/2/2024,,,,DUE,,,,,,,,,,,,,,
10/3/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
10/4/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/5/2024,,,,DUE,,,,,,,,,,,,,,
10/6/2024,,,,DUE,,,,,,,,,,,,,,
10/7/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/8/2024,,,,DUE,,,,,,,,,,,,,,
10/9/2024,,,,DUE,,,,,,,,,,,,,,
10/10/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
10/11/2024,,,,DUE,,,,,,,,,,,,,,
10/12/2024,,,,DUE,,,,,,,,,,,,,,
10/13/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/14/2024,,,,DUE,,,,,,,,,,,,,,
10/15/2024,,,,DUE,,,,,,,,,,,,,,
10/16/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/17/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
10/18/2024,,,,DUE,,,,,,,,,,,,,,
10/19/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/20/2024,,,,DUE,,,,,,,,,,,,,,
10/21/2024,,,,DUE,,,,,,,,,,,,,,
10/22/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/23/2024,,,,DUE,,,,,,,,,,,,,,
10/24/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
10/25/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/26/2024,,,,DUE,,,,,,,,,,,,,,
10/27/2024,,,,DUE,,,,,,,,,,,,,,
10/28/2024,,,DUE,DUE,,,,,,,,,,,,,,
10/29/2024,,,,DUE,,,,,,,,,,,,,,
10/30/2024,,,,DUE,,,,,,,,,,,,,,
10/31/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
11/1/2024,,,,DUE,,,,,,,,,,,,,,
11/2/2024,,,,DUE,,,,,,,,,,,,,,
11/3/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/4/2024,,,,DUE,,,,,,,,,,,,,,
11/5/2024,,,,DUE,,,,,,,,,,,,,,
11/6/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/7/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
11/8/2024,,,,DUE,,,,,,,,,,,,,,
11/9/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/10/2024,,,,DUE,,,,,,,,,,,,,,
11/11/2024,,,,DUE,,,,,,,,,,,,,,
11/12/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/13/2024,,,,DUE,,,,,,,,,,,,,,
11/14/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
11/15/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/16/2024,,,,DUE,,,,,,,,,,,,,,
11/17/2024,,,,DUE,,,,,,,,,,,,,,
11/18/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/19/2024,,,,DUE,,,,,,,,,,,,,,
11/20/2024,,,,DUE,,,,,,,,,,,,,,
11/21/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
11/22/2024,,,,DUE,,,,,,,,,,,,,,
11/23/2024,,,,DUE,,,,,,,,,,,,,,
11/24/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/25/2024,,,,DUE,,,,,,,,,,,,,,
11/26/2024,,,,DUE,,,,,,,,,,,,,,
11/27/2024,,,DUE,DUE,,,,,,,,,,,,,,
11/28/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
11/29/2024,,,,DUE,,,,,,,,,,,,,,
11/30/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/1/2024,,,,DUE,,,,,,,,,,,,,,
12/2/2024,,,,DUE,,,,,,,,,,,,,,
12/3/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/4/2024,,,,DUE,,,,,,,,,,,,,,
12/5/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
12/6/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/7/2024,,,,DUE,,,,,,,,,,,,,,
12/8/2024,,,,DUE,,,,,,,,,,,,,,
12/9/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/10/2024,,,,DUE,,,,,,,,,,,,,,
12/11/2024,,,,DUE,,,,,,,,,,,,,,
12/12/2024,DUE,DUE,DUE,DUE,,,,,,,,,,,,,,
12/13/2024,,,,DUE,,,,,,,,,,,,,,
12/14/2024,,,,DUE,,,,,,,,,,,,,,
12/15/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/16/2024,,,,DUE,,,,,,,,,,,,,,
12/17/2024,,,,DUE,,,,,,,,,,,,,,
12/18/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/19/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
12/20/2024,,,,DUE,,,,,,,,,,,,,,
12/21/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/22/2024,,,,DUE,,,,,,,,,,,,,,
12/23/2024,,,,DUE,,,,,,,,,,,,,,
12/24/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/25/2024,,,,DUE,,,,,,,,,,,,,,
12/26/2024,DUE,DUE,,DUE,,,,,,,,,,,,,,
12/27/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/28/2024,,,,DUE,,,,,,,,,,,,,,
12/29/2024,,,,DUE,,,,,,,,,,,,,,
12/30/2024,,,DUE,DUE,,,,,,,,,,,,,,
12/31/2024,,,,DUE,,,,,,,,,,,,,,
1/1/2025,,,,DUE,,,,,,,,,,,,,,
336,48,48,112 + 112 = 224,336 + 336 = 672,TOTAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ESTIMATED VIDEO COUNT = 288,,,,,,,,,,,,,,,,,,
